"Nome" "Pública ou Privada" "Estado" "Ranking" "RUF"
"118" "Universidade do Estado de Mato Grosso" "Estadual" "MT" 119 119
"119" "Universidade JosÃ© do RosÃ¡rio Vellano" "Privada" "MG" 105 105
"120" "Universidade do Estado do ParÃ¡" "Estadual" "PA" 115 115
"121" "Universidade Federal do Oeste do ParÃ¡" "Federal" "PA" 132 132
"122" "Universidade CatÃ³lica de Pernambuco" "Privada" "PE" 86 86
"123" "Universidade Veiga de Almeida" "Privada" "RJ" 116 116
"124" "Universidade Federal Rural do Semi-Ãrido" "Federal" "RN" 91 91
"125" "Universidade Federal da IntegraÃ§Ã£o Latino-Americana" "Federal" "PR" 146 146
"126" "Universidade do Estado de Minas Gerais" "Estadual" "MG" 139 139
"127" "Universidade Federal do Acre" "Federal" "AC" 137 137
"128" "Universidade Regional do Noroeste do Estado do Rio Grande do Sul" "Privada" "RS" 131 131
"129" "Universidade PitÃ¡goras Unopar" "Privada" "PR" 99 99
"130" "Universidade de TaubatÃ©" "Municipal" "SP" 142 142
"131" "Universidade Federal da Fronteira Sul" "Federal" "SC" 113 113
"132" "Universidade Paranaense" "Privada" "PR" 124 124
"133" "Universidade Tuiuti do ParanÃ¡" "Privada" "PR" 133 133
"134" "FundaÃ§Ã£o Universidade Federal de RondÃ´nia" "Federal" "RO" 123 123
"135" "Universidade do Ceuma" "Privada" "MA" 147 147
"136" "Universidade do Oeste Paulista" "Privada" "SP" 102 102
"137" "Universidade SÃ£o Judas Tadeu" "Privada" "SP" 109 109
"138" "Universidade Santo Amaro" "Privada" "SP" 138 138
"139" "Universidade de Santa Cruz do Sul" "Privada" "RS" 134 134
"140" "Universidade Estadual do PiauÃ­" "Estadual" "PI" 128 128
"141" "Universidade do Estado do Rio Grande do Norte" "Estadual" "RN" 141 141
"142" "Universidade Potiguar" "Privada" "RN" 135 135
"143" "Universidade Salgado de Oliveira" "Privada" "RJ" 144 144
"144" "Universidade de Uberaba" "Privada" "MG" 129 129
"145" "Universidade Anhanguera de SÃ£o Paulo" "Privada" "SP" 159 159
